Zone (string),Apartment_Type (string),Floor Height (m),L(a)eq (dB),Day/Night(string),Total Surface (sqm),Element: Materials (string),Absorption Coefficient by Area (m),RT60 (s),n. of sound sources (int),Average Sound Source distance (m),SPL (dB),Barrier distance (m),Barrier Height (m),SPL after barrier (dB),SPL after fa̤ade dampening (dB),Comfort index (float),Absorption_norm,RT60_norm,SPL_norm,ComfortIndex_v2,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
LD-Urban-V3,3Bed,3,43.21,day,162.0,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.6,6,11.3573,27.8381,1.92,3.5,23.0141,11.3074,0.721,0.9783,0.4021,0.4514,0.9314,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.0,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.3,1,12.8051,18.0037,1.92,3.5,13.611,8.7568,0.3033,0.574,0.0,0.4014,0.8944,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.0,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.6,2,20.1013,43.8014,1.92,3.5,38.9853,29.4407,0.9324,0.5851,0.3922,0.8067,0.561,,,,,,
HD-Urban-V0,2Bed,12,40.48,day,126.0,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.48,0.89,4,15.1723,22.9104,0.8,0.0,22.9104,16.2129,0.4583,0.3142,0.787,0.5475,0.3493,,,,,,
Roadside-V3,1Bed,12,61.05,day,90.0,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.46,0.32,1,17.0794,36.4035,0.8,0.0,36.4035,15.0518,0.4469,0.538,0.0189,0.5248,0.8133,,,,,,
Roadside-V1,3Bed,15,50.03,day,162.0,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.95,0.59,4,20.6447,29.7705,0.8,0.0,29.7705,19.2099,0.8761,1.0,0.388,0.6062,0.8838,,,,,,
Roadside-V3,3Bed,15,61.05,day,162.0,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.03,0.77,5,20.782,40.7905,0.8,0.0,40.7905,29.3116,0.7303,0.7221,0.6186,0.8042,0.5434,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.0,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.6,6,11.4485,27.7689,0.8,4.4,22.9342,11.2318,0.7195,0.9783,0.4021,0.4499,0.932,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.0,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.3,1,12.8864,17.9514,0.8,4.4,13.5641,8.7245,0.3026,0.574,0.0,0.4008,0.8946,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.0,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.6,2,20.1941,43.7613,0.8,4.4,38.9408,29.3961,0.933,0.5851,0.3922,0.8058,0.5613,,,,,,
HD-Urban-V0,2Bed,12,40.48,day,126.0,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.48,0.89,4,15.688,22.6258,1.68,0.0,22.6258,15.9599,0.4532,0.3142,0.787,0.5425,0.3514,,,,,,
Roadside-V3,1Bed,12,61.05,day,90.0,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.46,0.32,1,17.7769,36.0561,1.68,0.0,36.0561,14.738,0.4406,0.538,0.0189,0.5186,0.8159,,,,,,
Roadside-V1,3Bed,15,50.03,day,162.0,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.95,0.59,4,21.3208,29.4915,1.68,0.0,29.4915,18.9356,0.8706,1.0,0.388,0.6009,0.8861,,,,,,
Roadside-V3,3Bed,15,61.05,day,162.0,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.03,0.77,5,21.4654,40.5115,1.68,0.0,40.5115,29.0308,0.7343,0.7221,0.6186,0.7987,0.5457,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.0,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.6,6,12.461,27.0369,1.68,0.0,27.0369,15.3873,0.8026,0.9783,0.4021,0.5313,0.8974,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.0,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.3,1,13.7975,17.3885,1.68,0.0,17.3885,11.6744,0.3616,0.574,0.0,0.4586,0.87,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.0,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.6,2,21.2192,43.3301,1.68,0.0,43.3301,33.7749,0.8705,0.5851,0.3922,0.8916,0.5248,,,,,,
HD-Urban-V0,2Bed,12,40.48,day,126.0,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.48,0.89,4,15.0425,22.9833,1.76,7.7,18.2008,11.501,0.364,0.3142,0.787,0.4552,0.3886,,,,,,
Roadside-V3,1Bed,12,61.05,day,90.0,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.46,0.32,1,16.8967,36.4969,1.76,7.7,31.6847,11.0625,0.3671,0.538,0.0189,0.4466,0.8466,,,,,,
Roadside-V1,3Bed,15,50.03,day,162.0,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.95,0.59,4,20.4667,29.8455,1.76,7.7,25.0382,14.4817,0.7815,1.0,0.388,0.5136,0.9233,,,,,,
Roadside-V3,3Bed,15,61.05,day,162.0,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.03,0.77,5,20.6019,40.8655,1.76,7.7,36.0582,24.5787,0.7835,0.7221,0.6186,0.7114,0.5829,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.0,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.6,6,11.1754,27.9779,1.76,7.7,22.9103,11.1974,0.7188,0.9783,0.4021,0.4492,0.9323,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.0,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.3,1,12.6432,18.1091,1.76,7.7,13.5666,8.7262,0.3027,0.574,0.0,0.4008,0.8946,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.0,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.6,2,19.9159,43.8821,1.76,7.7,38.8796,29.3365,0.9339,0.5851,0.3922,0.8046,0.5618,,,,,,
HD-Urban-V0,2Bed,12,40.48,day,126.0,"Window: Small Pane Glass and Painted Brick; Window: Large Pane Glass and Gypsum Board; Window: Frosted Glass and Concrete Block (Painted); Window: Laminated Glass and Fiberglass Board; Door: Steel Door with Acoustic Treatment and Unpainted Brick; Wall: Gypsum Board; Wall: Painted Brick; Wall: Plaster with Wallpaper Backing; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Floor: Marble; Ceiling: 50mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: Metal Deck (Perforated Channels, 25mm Batts)",19.48,0.89,4,15.3991,22.7842,1.6,0.0,22.7842,16.102,0.4561,0.3142,0.787,0.5453,0.3502,,,,,,
Roadside-V3,1Bed,12,61.05,day,90.0,"Window: Glazed Ceramic Tile and Painted Brick; Door: Single Pane Glass Door and Concrete Block (Coarse); Wall: Gypsum Board; Wall: Acoustic Plaster; Wall: Acoustic Plaster; Wall: Unpainted Brick; Floor: Thick Pile Carpet; Floor: Medium Pile Carpet; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Underlay in Perforated Metal Panels (25mm Batts)",27.46,0.32,1,17.3913,36.2465,1.6,0.0,36.2465,14.9097,0.4441,0.538,0.0189,0.522,0.8145,,,,,,
Roadside-V1,3Bed,15,50.03,day,162.0,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.95,0.59,4,20.9475,29.6444,1.6,0.0,29.6444,19.0862,0.8736,1.0,0.388,0.6038,0.8848,,,,,,
Roadside-V3,3Bed,15,61.05,day,162.0,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.03,0.77,5,21.0883,40.6644,1.6,0.0,40.6644,29.1847,0.7321,0.7221,0.6186,0.8017,0.5444,,,,,,
LD-Urban-V3,3Bed,3,43.21,day,162.0,"Window: Frosted Glass and Fiberglass Board; Window: Laminated Glass and Unpainted Brick; Window: Single Pane Glass and Plaster with Wallpaper Backing; Window: Wired Glass and Wood Paneling; Window: Single Pane Glass and Fiberglass Board; :  and Painted Brick; Door: Plywood Door and Wood Paneling; Wall: Acoustic Plaster; Wall: Wood Paneling; Wall: Acoustic Plaster; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Floor: Wood Flooring on Joists; Floor: Thin Carpet on Concrete; Ceiling: Wood Panels, 18mm Alternate 15mm Slot & 35mm Wooden Slat with 25mm Rockwool Backing; Ceiling: Plywood, 5mm, on Battens with 50mm Airspace Filled with Glass Wool; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: Perforated Underside of Structural Steel Decking",43.17,0.6,6,11.9067,27.4297,1.6,2.0,22.6563,10.9794,0.7144,0.9783,0.4021,0.445,0.9341,,,,,,
Roadside-V1,1Bed,6,39.94,night,90.0,"Window: Wired Glass and Concrete Block (Painted); Door: Laminated Glass Door and Wood Paneling; Wall: Fiberglass Board; Wall: Plaster on Masonry; Wall: Fiberglass Board; Wall: Plaster on Masonry; Floor: Thick Pile Carpet; Floor: Thin Carpet on Concrete; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: Gypsum Plaster Tiles, 17% Perforated, 22mm",28.75,0.3,1,13.297,17.6924,1.6,0.0,17.6924,11.9318,0.3668,0.574,0.0,0.4636,0.8679,,,,,,
Ind-Zone-V0,2Bed,6,66.84,day,126.0,"Window: Glass Block and Wood Paneling; Window: Small Pane Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Fiberglass Board; Wall: Wood Paneling; Wall: Unpainted Brick; Wall: Concrete Block (Painted); Wall: Plaster with Wallpaper Backing; Wall: Acoustic Plaster; Floor: Vinyl Tile; Floor: Wood Parquet; Floor: Thin Carpet on Wood; Ceiling: Sprayed Cellulose Fiber (25mm on Solid Backing); Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",29.14,0.6,2,20.6591,43.563,1.6,2.0,38.7919,29.2451,0.9352,0.5851,0.3922,0.8029,0.5626,,,,,,
Roadside-V1,3Bed,15,50.03,day,162.0,"Window: Large Pane Glass and Concrete Block (Coarse); Window: Insulated Glazing Unit and Unpainted Brick; Window: Double Pane Glass and Fiberglass Board; Window: Single Pane Glass and Plaster on Masonry; Door: Double Pane Glass Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Coarse); Floor: Cork Floor Tiles; Floor: Thin Carpet on Wood; Floor: Thick Pile Carpet; Floor: Terrazzo; Ceiling: Plasterboard 10mm Thick, Perforated 8mm Diameter Holes with 25mm Bitumen-Bonded Fibreglass; Ceiling: 100mm Woodwool Slabs on 25mm Cavity, Pre-Screeded Surface Facing Cavity; Ceiling: 50mm Mineral Wool Behind 25% Open Area Perforated Steel; Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",43.95,0.59,4,19.5146,30.2572,0.8,2.6,25.4888,14.9153,0.7902,1.0,0.388,0.5221,0.9197,,,,,,
Roadside-V3,3Bed,15,61.05,day,162.0,"Window: Double Pane Glass and Plaster with Wallpaper Backing; Window: Frosted Glass and Acoustic Plaster; Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glazed Ceramic Tile and Wood Paneling; Window: Wired Glass and Painted Brick; Door: Single Pane Glass Door and Plaster with Wallpaper Backing; Wall: Concrete Block (Coarse); Wall: Acoustic Plaster; Wall: Painted Brick; Wall: Wood Paneling; Floor: Wood Parquet; Floor: Marble; Floor: Thin Carpet on Concrete; Floor: Thin Carpet on Wood; Ceiling: Underlay in Perforated Metal Panels (25mm Batts); Ceiling: Perforated Underside of Structural Steel Decking; Ceiling: Plasterboard 10mm Thick Backed with 25mm Thick Bitumen; Ceiling: Mineral Wool Tiles, 180mm Airspace",34.03,0.77,5,19.6367,41.2772,0.8,2.6,36.5088,25.0344,0.7914,0.7221,0.6186,0.7204,0.5791,,,,,,
